res_state,case_month,n
AL,2020-01,0
AL,2020-02,0
AL,2020-03,412
AL,2020-04,1327
AL,2020-05,1878
AL,2020-06,2805
AL,2020-07,6671
AL,2020-08,5680
AL,2020-09,4040
AL,2020-10,5101
AL,2020-11,6426
AL,2020-12,10937
AL,2021-01,10096
AL,2021-02,3984
AL,2021-03,1658
AL,2021-04,956
AL,2021-05,1078
AL,2021-06,511
AL,2021-07,2271
AL,2021-08,4469
AL,2021-09,4641
AL,2021-10,2196
AL,2021-11,1213
AL,2021-12,1985
AL,2022-01,9019
AL,2022-02,4624
AL,2022-03,727
AL,2022-04,112
AR,2020-01,0
AR,2020-02,0
AR,2020-03,230
AR,2020-04,368
AR,2020-05,510
AR,2020-06,1212
AR,2020-07,2456
AR,2020-08,2548
AR,2020-09,3125
AR,2020-10,5290
AR,2020-11,8501
AR,2020-12,11160
AR,2021-01,9131
AR,2021-02,2524
AR,2021-03,657
AR,2021-04,429
AR,2021-05,441
AR,2021-06,976
AR,2021-07,4506
AR,2021-08,6780
AR,2021-09,4086
AR,2021-10,1928
AR,2021-11,2211
AR,2021-12,4889
AR,2022-01,19846
AR,2022-02,5166
AR,2022-03,877
AR,2022-04,185
AZ,2020-01,0
AZ,2020-02,0
AZ,2020-03,568
AZ,2020-04,1691
AZ,2020-05,2377
AZ,2020-06,7587
AZ,2020-07,9472
AZ,2020-08,2386
AZ,2020-09,1686
AZ,2020-10,4070
AZ,2020-11,13726
AZ,2020-12,30807
AZ,2021-01,28947
AZ,2021-02,6870
AZ,2021-03,2398
AZ,2021-04,1599
AZ,2021-05,1270
AZ,2021-06,1322
AZ,2021-07,3151
AZ,2021-08,7383
AZ,2021-09,7579
AZ,2021-10,9095
AZ,2021-11,13549
AZ,2021-12,15034
AZ,2022-01,49579
AZ,2022-02,13283
AZ,2022-03,3678
AZ,2022-04,1346
CA,2020-01,0
CA,2020-02,46
CA,2020-03,3725
CA,2020-04,9900
CA,2020-05,9939
CA,2020-06,15861
CA,2020-07,25251
CA,2020-08,15419
CA,2020-09,9783
