State,Pop,Pop2021,Pop2010,density
California,39664128,39613493,37319502,254.6179
Texas,30097526,29730311,25241971,115.2138
Florida,22177997,21944577,18845537,413.5757
New York,19223191,19299981,19399878,407.9105
Pennsylvania,12805190,12804123,12711160,286.1943
Illinois,12518071,12569321,12840503,225.4736
Ohio,11727377,11714618,11539336,287.0066
Georgia,10936299,10830007,9711881,190.1535
North Carolina,10807491,10701022,9574323,222.294
Michigan,9995212,9992427,9877510,176.7844
New Jersey,8870685,8874520,8799446,1206.2395
Virginia,8638218,8603985,8023699,218.7444
Washington,7887965,7796941,6742830,118.6945
Arizona,7640796,7520103,6407172,67.2641
Tennessee,7001803,6944260,6355311,169.8024
Massachusetts,6922107,6912239,6566307,887.4496
Indiana,6842385,6805663,6490432,190.9894
Missouri,6184843,6169038,5995974,89.9718
Maryland,6075314,6065436,5788645,625.8694
Colorado,5961083,5893634,5047349,57.5161
Wisconsin,5867518,5852490,5690475,108.3407
Minnesota,5739781,5706398,5310828,72.0834
South Carolina,5342388,5277830,4635649,177.7182
Alabama,4949697,4934193,4785437,97.7332
Louisiana,4616106,4627002,4544532,106.8444
Kentucky,4487233,4480713,4348181,113.6411
Oregon,4325290,4289439,3837491,45.0607
Oklahoma,4007179,3990443,3759944,58.4179
Connecticut,3546588,3552821,3579114,732.4634
Utah,3363182,3310774,2775332,40.9296
Nevada,3238601,3185786,2702405,29.5006
Iowa,3174426,3167974,3050745,56.8313
Arkansas,3042017,3033946,2921964,58.461
Mississippi,2961536,2966407,2970548,63.1148
Kansas,2919179,2917224,2858190,35.7047
New Mexico,2109093,2105005,2064552,17.3877
Nebraska,1960790,1951996,1829542,25.5231
Idaho,1896652,1860123,1570746,22.9499
West Virginia,1755715,1767859,1854239,73.0391
New Hampshire,1378449,1372203,1316762,153.965
Maine,1359677,1354522,1327629,44.0838
Montana,1093117,1085004,990697,7.5105
Rhode Island,1062583,1061509,1053959,1027.6431
Delaware,998619,990334,899593,512.3751
South Dakota,902542,896581,816166,11.9052
North Dakota,774008,770026,674715,11.2173
District of Columbia,718355,714153,605226,11776.3115
Vermont,622882,623251,625879,67.5797
Wyoming,582233,581075,564487,5.9967
