Time,FirstDominatingVariant,SecondDominatingVariant
4/1/2020,Original,Original
5/1/2020,Original,Original
6/1/2020,Original,Original
7/1/2020,Original,Original
8/1/2020,Original,Original
9/1/2020,Original,Original
10/1/2020,Original,Original
11/1/2020,Original,Original
12/1/2020,Original,Original
1/1/2021,Original,Original
2/1/2021,Original,Original
3/1/2021,Alpha,Original
4/1/2021,Alpha,Iota
5/1/2021,Alpha,Iota
6/1/2021,Alpha,Delta
7/1/2021,Delta,Alpha
8/1/2021,Delta,Delta
9/1/2021,Delta,Delta
10/1/2021,Delta,Delta
11/1/2021,Delta,Delta
12/1/2021,Delta,Omicron
1/1/2022,Omicron,Omicron
2/1/2022,Omicron,Omicron
3/1/2022,Omicron,Omicron
